type,breed,color,name,zip,exp_year,reg_date,date,reg_year
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,RILEY,15090,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,MAGGIE,15108,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,MAGIC,15044,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,ZOEY,15205,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,ANGEL,15108,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,FRECKLES,15108,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,BLACK WITH WHITE,PATCH,15044,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,SIERRA,15057,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,SPOTTED,FRECKLES,15205,2012,2011-11-16 10:22:21,2011-11-16,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,ABBY,15101,2012,2011-11-16 10:22:21,2011-11-16,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,JERRY,15205,2012,2011-11-16 09:30:06,2011-11-16,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,JACK,15147,2012,2011-11-16 14:59:16,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,BREEZE,15215,2012,2011-11-17 09:38:55,2011-11-17,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,JAKE,15234,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,ABAGAIL,15229,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,CHELSE,15229,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,ANDIE,15136,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,DOTTIE,15239,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Individual Male,ENG SPRINGER SPANIE,WHITE/BLACK,O'NEAL,15205,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,MASON,15102,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,MAX,15122,2012,2011-11-17 08:59:25,2011-11-17,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,PRINCE,15239,2012,2011-11-17 09:01:08,2011-11-17,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,CHLOE,15143,2012,2011-11-17 09:01:08,2011-11-17,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,MADDIE,15212,2012,2011-11-17 09:01:08,2011-11-17,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK/BROWN,DOOLEY,15146,2012,2011-11-17 09:01:08,2011-11-17,2011
Dog Individual Male,ENG SPRINGER SPANIE,WHITE/LIVER,CHEWIE,15084,2012,2011-11-17 11:51:14,2011-11-17,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,JOSIE,15084,2012,2011-11-17 11:51:15,2011-11-17,2011
Dog Individual Female,ENG SPRINGER SPANIE,WHITE/BLACK,DAISY GIRL,15108,2012,2011-11-17 11:51:38,2011-11-17,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,MOLLY,15237,2012,2011-11-17 13:35:53,2011-11-17,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,CHARGER,15146,2012,2011-11-17 15:56:55,2011-11-17,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,RUFFUS,15236,2012,2011-11-18 09:09:30,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,KALI,15143,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,ROCKY,15227,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,MOLLY,15227,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,FRECKLES,15101,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,BUCK,15015,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,PEPPER JENEL,15101,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,DAPHNE,15090,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,LILY MYST,15106,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,BUDDY,15237,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,BETSY,15243,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,BROWN,PENNY,15237,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,TUFFY,15147,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,DODGER,15147,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,PARKER,15241,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,BILLY,15017,2012,2011-11-18 09:49:26,2011-11-18,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,IVY,15143,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,COSMO,15104,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,PARKER,15228,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,BRODY,15228,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,SADIE,15131,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,MAIZY,15090,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,BLACK,MINNIE,15106,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,CANDY,15212,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Senior Citizen or Disability Male,ENG SPRINGER SPANIE,WHITE/LIVER,EMILE,15133,2012,2011-11-18 09:51:43,2011-11-18,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,BLAZE,15221,2012,2011-11-18 10:01:41,2011-11-18,2011
Dog Individual Male,ENG SPRINGER SPANIE,WHITE/BLACK,MAJOR,15243,2012,2011-11-18 15:53:07,2011-11-18,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,GUNNER,15037,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,KIDA,15071,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Individual Male,ENG SPRINGER SPANIE,WHITE/LIVER,TUCKER,15202,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,SHEILA,15205,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,ANGEL,15241,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,ROSALIA,15202,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,CHARLIE,15044,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE,ROCKY,15237,2012,2011-11-21 08:55:38,2011-11-21,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,SPOTTED,BLUE,15071,2012,2011-11-21 08:56:39,2011-11-21,2011
Dog Senior Citizen or Disability Male,ENG SPRINGER SPANIE,WHITE/LIVER,TUGGY,15102,2012,2011-11-21 08:56:39,2011-11-21,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,MINDY,15084,2012,2011-11-21 08:56:39,2011-11-21,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,EMMA,15108,2012,2011-11-21 15:30:02,2011-11-21,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,JAKE,15136,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,LULU,15146,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,MULTI,MURPHY,15202,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,GUNNY,15237,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,DAKOTA,15102,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,DAISEY,15044,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,JAKE,15239,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,SNICKERS,15106,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,SOPHIE,15241,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,SADIE,15241,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,ANNABELLE,15045,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Male,ENG SPRINGER SPANIE,WHITE/BLACK,MR. DIBBS,15106,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,JEWELS,15234,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Female,ENG SPRINGER SPANIE,SPOTTED,DAISY MAE,15032,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,RHUE,15129,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,LADY,15017,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,MOLLY,15057,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,PATCHES,15005,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK/BROWN,DIXIE,15101,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,SIMON,15044,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,SPENCER TRACY,15044,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,NEWTON,15229,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,MAGGIE,15238,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Individual Male,ENG SPRINGER SPANIE,WHITE/BLACK,HENRY,15214,2012,2011-11-22 10:58:13,2011-11-22,2011
Dog Senior Citizen or Disability Female,ENG SPRINGER SPANIE,SPOTTED,MANDY,15136,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,PETE,15235,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,LUCY,15131,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,COREY,15237,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,MULTI,ABBY,15090,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK/BROWN,BOOMER,15108,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,RUSTY,15108,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,DAISY,15234,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,MAX,15234,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,CHIPPER,15120,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,DAISY,15120,2012,2011-11-22 11:00:11,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,POLKA DOT,15143,2012,2011-11-23 08:53:04,2011-11-23,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE,DAISY,15227,2012,2011-11-23 08:53:11,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,LEXIE,15136,2012,2011-11-22 16:04:02,2011-11-22,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,CROSBY,15106,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,JUNO,15243,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,ABBY,15147,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,JERRY,15090,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,OLIVER,15146,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,JEB,15237,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,DUKE,15237,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,BLACK,ZEB,15237,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,ELLIE,15139,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,BAILEY,15102,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,MOLLY,15139,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,RUBY,15235,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,RIO,15143,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,DEUCE,15143,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,MURPHY,15024,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Male,ENG SPRINGER SPANIE,WHITE/BLACK,MAX,15057,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Female,ENG SPRINGER SPANIE,WHITE/LIVER,LADY PENNINGTON,15101,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,NESTLE,15229,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Individual Female,ENG SPRINGER SPANIE,SPOTTED,REMY,15101,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,EMMA,15084,2012,2011-11-23 10:31:46,2011-11-23,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/TAN,EMILY,15084,2012,2011-11-23 10:31:46,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,COCOA,15237,2012,2011-11-23 10:30:21,2011-11-23,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,SARAH,15243,2012,2011-11-23 11:29:09,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,NOEL,15237,2012,2011-11-23 15:45:45,2011-11-23,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,BUDDY,15147,2012,2011-11-23 14:54:58,2011-11-23,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,CASEY,15237,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,BRANDY II,15225,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,BAILEY,15220,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,JASPER,15227,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,CODY,15135,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Female,ENG SPRINGER SPANIE,WHITE/BROWN,BELLA,15106,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,REESE,15241,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,SKY,15120,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,HUNTER,15120,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Male,ENG SPRINGER SPANIE,SPOTTED,BUSTER,15237,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,JAKE,15025,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,CHOPPER,15106,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,BAILEY,15236,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Female,ENG SPRINGER SPANIE,WHITE/LIVER,BAILEY,15237,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/RED,CHIEF,15146,2012,2011-11-28 09:02:43,2011-11-28,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,TREY,15044,2012,2011-11-28 09:03:42,2011-11-28,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,SINBAD,15101,2012,2011-11-28 09:03:42,2011-11-28,2011
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,WILLIE,15037,2012,2011-11-28 09:03:42,2011-11-28,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,LIVER,SHANNON,15239,2012,2011-11-28 09:03:42,2011-11-28,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK/BROWN,SYDNEY PRESUTTI,15126,2012,2011-11-29 10:33:13,2011-11-29,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,MOLLY,15044,2012,2011-11-29 10:33:13,2011-11-29,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,RALPH,15220,2012,2011-11-29 10:33:13,2011-11-29,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,RUBY,15143,2012,2011-11-29 10:33:13,2011-11-29,2011
Dog Individual Female,ENG SPRINGER SPANIE,LIVER,SADIE,15135,2012,2011-11-29 10:33:13,2011-11-29,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,RUFUS,15144,2012,2011-11-29 10:33:13,2011-11-29,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,PIETRO,15090,2012,2011-11-29 10:33:13,2011-11-29,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,ROXANNE,15205,2012,2011-11-29 10:33:13,2011-11-29,2011
